,title,image,year,release_year,rating,runtime,plot,genres,score,Action,Adventure,Anime,Children,Comedy,Cult,Documentaries,Dramas,Fantasy,Horror,International,Reality,Romantic,Sci-Fi,Thrillers,media type
268,Criminal: Spain,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABXEFeI0mZ1p6BdRK17BHUI8ykDWxX2f_tNZs5TfVNmZ5FELRkqWIbY4GUJISEqFrmf20EE3UPnKMxFBYkrkKRhyQhtRUXIVyg7N6tEcrqESWnSDV-eQ6Exo29J_f.jpg?r=260,2019,2019,TV-MA,1 Season,"Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.","['International', 'International']",7.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,tv
269,Criminal: UK,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABaPeGHiTCb7WKV1P6jNJ_ApRPhjJpCUevfncbYidFb-Vm6rwhkxdutV3kdKPMh8m1DX49Vd1HEHRz3a6X8TXws1vhZdiywZjTnw88FWuyqgLFRc4Oe84-M6oehQl.jpg?r=af5,2019,2019,TV-MA,1 Season,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.",['International'],7.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,tv
270,Disenchantment,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABQcsI9QqavftmSx9-HwIrTrLSxV-h8GaSTwf4l6TwV76oHzxLKL_nwHia0kqsq6wvB7i5MTxL_oo_esQR8dPghzxDyZWkLDEeDBNP7jwaess9oCUVif-SFwY6iWI.jpg?r=f88,2019,2019,TV-14,2 Seasons,"Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals.","['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Fantasy']",8.3,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,tv
271,Fastest Car,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABUX6sL5nl6bdTXfRA5Yg4MlHxTpqNxfDtgrRyVYzJqmPNrvOxCvqnBdUZfT5deaAljV-7Q6Jg4DpCAknBWKVYMzOXCqDwwwhcOjA22TTxoP0EU0-d7KW8_FeYjzK.jpg?r=1f5,2019,2019,TV-MA,2 Seasons,The drivers of exotic supercars put their street cred on the line against deceptively fast sleeper cars built and modified by true gearheads.,['Reality'],8.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,tv
272,Inside Bill's Brain: Decoding Bill Gates,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABfZPUk0kEnsnPzcCrUy2XZ1r20p5G9aadAQ9wzGMz4GhiTAH-UYg5O4pIFjExOoG9UWlWcTfLdtLb2ZFTD_U9uQ6TUSNBjJubjFmBSMazMrk0KeO4BOWGWBEBdwk.jpg?r=216,2019,2019,TV-14,1 Season,Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.,"['Documentaries', 'Reality']",8.1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,tv
273,The Hockey Girls,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABXoVsqDWf55Q8PNlPJZQwV6ff3cDNQJ8ovhmjFX_uQxQr9wsOoZqdnxvlTpRuPu8a8K7krCMkGjQVajhtYKrhc7JbVg-Br0GlVZH3ETK4o_7hoPBJukFcIMqjo9u.jpg?r=0f7,2019,2019,TV-MA,1 Season,"The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance.","['International', 'Comedy', 'Dramas']",7.8,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,tv
274,Two Sentence Horror Stories,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVwaUfJdj-U5Q5SNrrjN3KcrfZUbG8VSJxT6d9RL9n1upUUqdGaqF4lTLaWNH1AO2MrGJUxGtR1c2-aqXXA5MecPUZg.jpg?r=d0d,2019,2019,TV-14,1 Season,This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.,['Horror'],6.3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,tv
275,The Blacklist,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABRejj7RrHBqpgZM2S8fyg8I47ZE8Hy2_nq67dq17Pj5a9tarIsaw4Lw4Q57Jo7NkwE-pdsyhUUU-9aaBZnOV8Rs8ebs.jpg?r=734,2019,2019,TV-14,6 Seasons,"After turning himself in, a brilliant fugitive offers to help the FBI bag other baddies, but only if rookie profiler Elizabeth Keen is his partner.","['Dramas', 'Thrillers']",8.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,tv
276,When the Camellia Blooms,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABQaoihH392JzsZIq0XLT9PvT0aQ6ejeAf1VoXtnRp0aEy7NPchSu0Fj0A5wEbFItLlM67XIg4TB2DZ4isvhrKGpKuKDJgojTykDPP3d028TmyxiQtj98weqk3Vlo.jpg?r=dfa,2019,2019,TV-14,1 Season,"Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her.","['International', 'International', 'Romantic']",7.4,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,tv
277,Ancient Aliens,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABY611rFwubb1RfVMc6u_qalEPssQose8cruMMHZVryhh-IGGjqHKnJQtRpPjNg30IVeFPDMPskRhqKbqm9Rt0aASoiE.jpg?r=85b,2010,2010,TV-PG,1 Season,"Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?","['Documentaries', 'Reality']",7.1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,tv
