,title,image,year,release_year,rating,runtime,plot,genres,score,Action,Adventure,Anime,Children,Comedy,Cult,Documentaries,Dramas,Fantasy,Horror,International,Reality,Sci-Fi,Thrillers,Romantic,media type
3724,Miss Julie,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVM7nSe8zAiCPtB8_J8EXMOPFmZGZZTSqlb2lyU9BBELNEfL-IjceNzUkYNCbCn_1gtIN8UB0_-8F0zaGwQfv_IVxts.jpg?r=79b,2014,2014,PG-13,130 min,"On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook.","['Dramas', 'International']",6.5,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,movie
3725,Demetri Martin: Live (At the Time),https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABYIcqnh7-qigMPcaKWTMIcNe-ETuare97gxqEdovoFWobFlLfp_OFTDi-6gNtp_O_KQGWqhiQNnn2n-IBHQZc-gFa6KSxaDwG1UojY0cp1YadmMjunBsuTRq84aK.jpg?r=52f,2015,2015,TV-MA,62 min,"Demetri Martin brings his off-kilter take on acoustic guitar, hairless cats, color schemes, and the word ""nope"" to Washington in his original special.",['Comedy'],7.2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
3726,Yellowbird,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABYpryEL03sbwKyxNq9QM1DkvUJWZwQLxyPR0nYz4_AinLmRaNphgi_h6aDKqoE6hU11kwC70FhVlfVNvENAMkf89IIw.jpg?r=8df,2014,2014,PG,90 min,"An orphaned bird tags along with a flock on their long migration to Africa and becomes a hero when his newfound ""family"" runs into trouble.","['Children', 'Children', 'Comedy']",5.7,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
3727,Tig,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABYOxzWV2c3lE2Nw_MlqgL8e4qBnbboYL0rzddSr4ahm8z7Yhq_QTgD7IxUC9svqzIp5K0aE-ZhlqCIj5gTVtygAqOQITLM-vLfJa9l1MdQ04FvKo2pbqknoSKzeI.jpg?r=ff3,2015,2015,TV-14,92 min,Comedian Tig Notaro announced her cancer diagnosis at what became a legendary stand-up set in 2012. Follow her search for humor amid devastating news.,"['Documentaries', 'Comedy']",6.6,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,movie
3728,The Physician,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABev0_3vN83Z0Mtv4ufLqAe24QD1zerdBecKEqTpQhyUT7YZHG9fH3Q9YSh1pO58m_24PJo5by_PY1fjLyhME0W4o_nI.jpg?r=57c,2013,2013,R,155 min,A medical apprentice in 11th-century Persia disguises himself as a Jew to study at a school that does not admit Christians.,"['Action', 'Adventure', 'Dramas', 'International']",6.9,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,movie
3729,Creep,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABaEBSEwsafF2fllE0WES4F99SPAXa1nJbBEVZ5MhKCFebg8BE1KvOTJCCsk1dMSZqawVgKkRV3aoL9RpJj_bEwVBn20.jpg?r=622,2014,2014,R,78 min,"When a cash-strapped videographer takes a job in a remote mountain town, he finds that the client has some unsettling ideas in mind.","['Horror', 'Thrillers']",6.4,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,movie
3730,Chris Tucker Live,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABWxoPAjdDgQQQHnmFYCtnsVDQhvRVXOrR4upZn-EcpvUZvIVrXSd3_dSEOgaRJBELI2ErbNEpx3AxC95IrQXHxwSzTrHn-0DzTcCUHzw5uwew6x4bIFP6rKtTFod.jpg?r=421,2015,2015,TV-MA,92 min,"Filmed in his hometown of Atlanta, Chris Tucker showcases his stand-up comedic chops as he shares his experiences from childhood to the big time.",['Comedy'],6.1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
3731,Ralphie May: Imperfectly Yours,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVPP5kxb0Fo3Q63Bu5h3xOJzu5nGueOmUW94suniEriXtuWZSCY93WMgK9HBjryMiISNmX0bOa3iQdnZpQuIIoZsVjs.jpg?r=85d,2015,2015,TV-MA,69 min,"Comedian Ralphie May takes to the Las Vegas stage with his raw, rollicking take on men's fashion, racism, sex and even waffles. Filmed live in 2013.",['Comedy'],7.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
3732,"What Happened, Miss Simone?",https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABaZ22s5Vmq1LCSCwPXrFUDq9_pfLXKzsyl3dJ_ujD7IC3G8h9HckgeibI8jZvSM86RZqdR7kW5vawyiHGDIwrSnp5NyxXR4LVcrpA6CWV7Z8vyW0MNR7GdpIb1OA.jpg?r=83a,2015,2015,TV-14,103 min,"Using never-before-heard recordings, rare archival footage and her best-known songs, this is the story of legendary singer and activist Nina Simone.","['Documentaries', 'Reality', 'Reality']",7.3,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,movie
3733,Advantageous,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABTNAM0nWOk5cX_hkuEH1pZ8FT5EAokPQT8hn2095EKN07DWk9EFwhoIgLsg_pjRa2ftFqg3t8DzlSHfg63we8_CM_34.jpg?r=266,2015,2015,TV-MA,92 min,"In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.","['Dramas', 'Sci-Fi', 'Fantasy']",5.1,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,movie
