,title,image,year,release_year,rating,runtime,plot,genres,score,Action,Adventure,Anime,Children,Comedy,Cult,Documentaries,Dramas,Fantasy,Horror,International,Reality,Sci-Fi,Thrillers,Romantic,media type
0,Deadcon,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABXIV2WhHudkKq6JBS11N_Rp3ZA_djzfXDk2gr4TtI7D7VkhcNu0Dbe9uWm85jl8pyUyYACONJDhP9cxGTUZD4PSOV-0.jpg?r=ef4,2019,2019,TV-MA,78 min,"A group of uber-popular, social media influencers’ trip to a digital media festival grows dark when an evil spirit wants to lure them to their demise.",['Horror'],3.6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,movie
1,Get Him to the Greek,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABRBpRVlhaVpX62ktBRPARGh7VKtPryhhVUYAQAFrkVS58C22t5Mzv6_91EIh7YDKhqweMpmkTvB0mkzaIZWsJVTJimk.jpg?r=cd1,2010,2010,R,109 min,Ambitious young record company intern Aaron must escort an unruly rock star to Los Angeles for the start of his anniversary concert.,"['Comedy', 'Reality', 'Reality']",5.2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,movie
2,Hop,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABfRaMF-s8kl7UtXL4CAxhUBiCJ_7O42m6-d5j-Ngis7cut93-gtDPPPgYd-v2JuVlr_8RdYtLcuy4LFxs6iwBOCNqOY.jpg?r=87f,2011,2011,PG,95 min,A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbit's duties so the holiday can continue.,"['Children', 'Children', 'Comedy']",8.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
3,Jezebel,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABW2GuL3QXQSgHIY_Y3JSnITEHjqtlhWuiCm4SyGHY-0H8QAejqz2QXaMUfxhgGkTLklUmPH0pFFZVjxtIJ56y4e3ReI.jpg?r=fc1,2019,2019,TV-MA,86 min,"During the internet's infancy, a vulnerable woman follows her sister into the sex industry as a webcam model but her sudden popularity tests their bond.",['Dramas'],5.7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
4,Legend,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABQSO-b6svbVbmCHKU2PEQaNlYLjoCdlRrEjjNZJaRyAgn9AvjDsMVc45LpMWCOGlJEe9KWZOzVLpnFVaEFw60f73KYQ.jpg?r=525,2015,2015,R,132 min,Identical twins and notorious gangsters Reggie and Ronnie Kray elude the authorities in 1960s London while transfixing and terrifying the public.,"['Dramas', 'International', 'Thrillers']",7.6,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,movie
5,NiNoKuni,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABYLghLYa7zp1DEbh9rLq6lY1zk5cobnucysJzZb5UPMmAJjFsLFqnFaOY-8KeBXw2n_8bjGNNwMzOg2aCzuJObec06eMntkdxGk6Iv8Kgk3e1t0xlQrVhzMoIBGi.jpg?r=b11,2019,2019,TV-14,107 min,Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey.,"['Action', 'Adventure', 'Anime', 'Children', 'Children']",9.1,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,movie
6,Steve Jobs,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZlnnHkw-5kwCY1EZjzoPsrTJPb6nfMxJN53i0iYPDcoiQnZDU4uD8XIw2UhCLTaHPEZQpH-A6FXFIAP-SRYqEAlGg0.jpg?r=860,2015,2015,R,122 min,"By keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the Mac.",['Dramas'],6.1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
7,Big Fat Liar,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABe51Hmt53zYLN-Iwdw0PfemOhkhA1IL0iYov9HKJ03Xb8LIY1MFE1mEmnus3cx2tw_Io_9gwOdoG64w__dypktp9mBI.jpg?r=0ce,2002,2002,PG,88 min,Junior high students Jason and Kaylee take action when a greedy Hollywood producer turns Jason's essay into a hit film without giving him credit.,"['Children', 'Children', 'Comedy']",6.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
8,Bulbul Can Sing,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABQ75AdgkqquY0kBSce0G525PLA47xsmvCsIaEeljYZWLL85XXcHA1xiDIL3UxRtgbIzxM7LHxw_EpJ_APws0w_YRsp8.jpg?r=b53,2018,2018,TV-14,95 min,"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy.","['Dramas', 'International']",4.9,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,movie
9,Eye For An Eye,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABTOZ7TZlKWBYEto-lgD2bAJsijn3wOLMmwMyPc9y2NWrmlExZScWtFES0b9VqvOkmnH0uelJnmsW61ZK1yrz0bV83mBp_XLHu746sFBZ_mA6q_wxxC5KN9gQTIRp.jpg?r=524,2019,2019,TV-MA,108 min,"A cartel boss is released from prison and unknowingly put in the care of a vengeful nurse, whose life was tragically impacted by the drug lord.","['Dramas', 'International', 'Thrillers']",7.9,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,movie
10,MindGamers,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABd-lWmsPwd-DPKSp4w0MYY5TVfJTvdO7FtOYOKTHAd8ZA9G8eaF0GTD5QaQGQu5O4jh5cEHYCr1VF6CsNre3nMNy2S4.jpg?r=2e7,2017,2017,R,99 min,"Brilliant young students discover a breakthrough that could change humankind, but soon find themselves the subjects of a much bigger experiment.","['International', 'Sci-Fi', 'Fantasy', 'Thrillers']",6.5,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,movie
11,The Brave,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABdX7c-psgBvGWJl7o7_oavV8shSW6hRPBkLW80lKa1X9Kit0GkuZ6lgZMCCh6w50uJ1WSamMjqax7dzcCXjfTEX83CE.jpg?r=da7,2019,2019,TV-MA,103 min,"With entry into the European Union at stake, Albania must rely on a mash-up of elite cops to take down a slippery drug lord dominating its economy.","['Action', 'Adventure']",4.4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,movie
12,Where the Money Is,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABYRg0T21JHIak3ziq2f7HWzYAEtY-0_gRWa1TCduCqCZuUlP5Q1pLz3YY3pi0JzR9eP_qTz-y7aGQ9601bzxWISDeG4.jpg?r=38c,2000,2000,PG-13,89 min,"Paul Newman proves he's still got prodigious acting chops, playing an aging bank robber who may have one last job in him. Faking a stroke, the incarcerated Newman is transferred to a nursing home and the care of a skeptical nurse.","['Action', 'Adventure', 'Comedy', 'Dramas']",5.6,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,movie
13,Leslie Jones: Time Machine,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABROJSi5ymh3fECpC7hzFNLmdnjFf4pbC2wR0FYokj6R_uPle2UaNJZTKVHiofjccUt-IO7tYRg_04r6b_kWYse4kitrba-qTUycXx3yaHyBAddnN21riemuYISB_.jpg?r=990,2020,2020,TV-MA,66 min,"From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special.",['Comedy'],4.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
14,The Master,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVj3f5S_VpeW-mF6l-O5u7CexiN7vomNQIalRkWJEkmHoCMF7AniCgrV-ztWl7_HfztoVwr4vazLCYyTcye0GxUIV0I.jpg?r=b58,2012,2012,R,137 min,"A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion.""",['Dramas'],7.3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
15,Women of Mafia 2,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABSfQv4mXKdqJwKjsZfHfmpYIxJkNhDBsx7Ras82grO2idkbaVRM4maHwm_GGy-e2V4QGD3F3FsyJ3ESq4Fc6fymhc6fDB0bcha4yOLDxxbtsu3Y8.jpg?r=1ba,2019,2019,TV-MA,132 min,"When a major drug deal goes sour, the queen of the Warsaw underworld must contend with a rival criminal, a crossed ally and a religious fighter.","['Action', 'Adventure', 'Dramas', 'International']",5.4,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,movie
16,The Last Face,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABW2ISFcoHyH38l7MrizNQORUQlOxbxG1M0SPhZxwrNLhBFjKKsabLyzm4zf5JeAUM8_HEG1rZ4FArqG0hAJTRkXv7ws.jpg?r=da8,2016,2016,R,131 min,Savage civil war and a dispute over humanitarian assistance threaten to unravel a checkered romance between an aid director and a doctor.,['Dramas'],6.8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
17,Betty White: First Lady of Television,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZUKTJQcceR525Vl0-7fOTuibcKNSf9TZW1ok6INX_TeBVRb_MRLWGzlv_Gh8jh-hS-4eGTGWROttlPeLM64H6mmkk8.jpg?r=f6c,2018,2018,TV-14,56 min,This documentary on actress and television producer Betty White traces her decades-long career as a  woman breaking new ground in entertainment.,['Documentaries'],6.8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,movie
18,Made in China,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABbkXcDMWjUSQft1ToqtMGfTeF0vuxKIZM5oV4dmkOhX98fG5-FSoFO4e764E-FF5f5trawmwvElHwxPXdjkaJaF3owI.jpg?r=949,2019,2019,TV-MA,128 min,"After a trip to China, a struggling entrepreneur returns to India as the supplier of an illegal aphrodisiac — but all he ends up stimulating is chaos.","['Comedy', 'Dramas', 'International']",4.3,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,movie
19,Zoom,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABTj780QiOF4ZKks-3FaEMIbIggCbi4EflJcMJxyQe4jbhmB8zsSzOFqknNTjb76P3czL5i5i61pfKRWtHxghQ9IAch8.jpg?r=cb9,2006,2006,PG,88 min,"Dragged from civilian life, a former superhero must train a new crop of youthful saviors when the military preps for an attack by a familiar villain.","['Children', 'Children', 'Comedy']",5.4,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
20,Monsters: Dark Continent,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABfVH5hfKzUKMFUAxhsKm8gefhiFYw3D63NZWhJ6lyO1rLOu1tzJXbVF3DNFUfEl59IELhGFRdlr80hYR49uaNYOmqtc.jpg?r=af9,2014,2014,R,119 min,An American platoon stationed in the Middle East is thrust into battle with a breed of tentacled aliens whose rapid spread threatens human survival.,"['Action', 'Adventure', 'Dramas']",5.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
21,Set Up,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABST39F2orM7LCIioXbgSsTa0qn7itg_RjPPPnpTFDNwGhBVTGBGrJqHAm-xZM5DbeZpU0GtlQzgl97HtFeGc3b3x_YE.jpg?r=ab9,2011,2011,R,85 min,"A diamond heist goes horribly wrong, and the group of friends who sought to make a fortune must instead fight for their very survival.","['Action', 'Adventure']",5.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,movie
22,Sniper: Special Ops,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABUhVCUVThnO50xxEnwiDWW489uWgCfmioX3ea9QCEtzohtvWtTJTYXfr3Z47wEcXIflxOZ7h0IL_Mjj3_NIgOvWMBhY.jpg?r=61a,2016,2016,R,86 min,"After a mission to rescue a U.S. congressman from the Taliban ends with two men left behind, their sniper buddies go against orders to get them back.","['Action', 'Adventure', 'Dramas']",6.5,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
23,The Evil Dead,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZHwud-Yzk3NB1XGLD9e7bQYJ5ABLBJhsK4cWajH3cvpexcNJLa5svzpwEn2HnmKTs7BEIrOhyy4aqPK7AOUGMrx77M.jpg?r=e9b,1981,1981,TV-MA,85 min,"During a stop at a remote cabin deep within the woods, a group of teens begins turning into flesh-eating zombies in director Sam Raimi's cult classic.","['Cult', 'Horror']",7.5,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,movie
24,Bulletproof 2,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVHxNsZ4yB1hIw6xANMJ47JpEzlgTiN43Ss5ryqT7jZAnj2eHxgT8fUnHEPh4k_Cnz3ma4T29gnVpzYPCE-GCAVDEDg.jpg?r=a00,2020,2020,TV-MA,97 min,A special agent abruptly reunites with a criminal – once a former friend – when he attempts to use his identity to infiltrate and take down a cartel.,"['Action', 'Adventure', 'Comedy']",5.2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
25,Speed Is My Need,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABazhq7dlSEv32dWvrjSFhGJkBbIC44IU7yVb-Pg0e9ZFWPHHJKM4lMzkZB0q4YCIINZiRSfADowWlJTdeu-PhqAqlKU.jpg?r=c0b,2019,2019,TV-14,75 min,"This daredevil documentary trails behind and into the minds of the biggest names in one of the world's most dangerous sports, superbike racing.","['Documentaries', 'Reality']",7.7,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,movie
26,A Ghost Story,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABe1Y-IUkNxzkhahKMNEHvt2jQn-jlb6Yl8plDSCe4YbMq9onyEdVc00UurPIUTNG44HiWY6aqvli1reDALTqAKQRhkc.jpg?r=877,2017,2017,R,92 min,"Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.",['Dramas'],8.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
27,The Tourist,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABQV8J121HeNu0XcfzpfDHRsAOkazo_qFDW0qZ4M4Vs03gdFfOXmj6ypEBW1pn6Zfd1QRj6WSa2EhmUowOvG5bnGt0Xc.jpg?r=242,2010,2010,PG-13,103 min,An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.,"['Action', 'Adventure', 'Romantic']",6.5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,movie
28,All the Freckles in the World,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABSqQ-RtKP7LGYhh3APiRfbgsukgN6VNfbBTyWUfMgJuHokrPoXxv_LysMU_Rki9UbUFuTiM25HoUamaNDFD7ZPJkZnLEB_aQ4zQOz-_eShfaCdasZw1rQ-mlWI02.jpg?r=453,2020,2020,TV-14,90 min,Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.,"['Comedy', 'International', 'Romantic']",6.5,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,movie
29,Ferris Bueller's Day Off,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABUuFrKYcDGmA-rKiMHefLkA5dLLA_TsH2vOmCb4xXpQaDq7BELAPaLXlN-zHNfOLwBWBfg2iItbcPsyDrkXY5uOdQVg.jpg?r=746,1986,1986,PG-13,103 min,"Ferris convinces his entire school he's at death's door, then hits the streets of Chicago with his girlfriend and best friend for a day of fun.","['Comedy', 'Cult']",6.2,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,movie
30,Half Girlfriend,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABWCn_ZDCj2eFzvRiu3dodqpbdbrLIapFfcn7G0u291uWQVbRr_wdAgtQ-Np91ZVY9wW1O-d349i1Wu4wKT51Djflhg8.jpg?r=e9c,2017,2017,TV-PG,129 min,"Small-town Madhav falls for big-city Riya and wants her to be his girlfriend. But she views their relationship differently, and suggests a compromise.","['Dramas', 'International', 'Romantic']",5.4,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,movie
31,21,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVyXdetLpZKmaPBzyVQcLPZ8zZElN2a1dHerGsXLBwayxfKtSKUOQKRgWcrckiSkvaftiCz4AX3jUvDWtl3wAEFdAfk.jpg?r=e73,2008,2008,PG-13,123 min,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,['Dramas'],8.1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
32,A Cinderella Story,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABWA54d-63fX49p3OSXGQo9ORRNpDkSOp7jLm2FWDNCOX4hTWb4A1GY0hLlmUBVsowre6-04wMh2OTUOgW10RtX3kHkA.jpg?r=004,2004,2004,PG,95 min,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,"['Children', 'Children', 'Comedy']",5.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
33,Alpha and Omega: The Legend of the Saw Tooth Cave,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABSsFykLQM618x7SzL9bx4Vj07TFfQjzfY75NmLl2i_kQKJmLQQmLJXQJOMmn1BuTydd-oHHdiyqQzgCxmbzQheyu37o.jpg?r=74e,2014,2014,TV-Y7,45 min,"When a wolf pup named Runt sneaks off to explore a mysterious cave, he meets and befriends a wolf driven from her pack because she's blind.","['Children', 'Children']",5.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,movie
34,American Beauty,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABfi4p7doJ-fTz4t1QYubmbF2BcxxH4-f4VUoqxVDsKrJEEzMIxZih7vlRD2r0r2CW2CHdU9GTQ4TdJn4D1irwcqzMho.jpg?r=9f3,1999,1999,R,122 min,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",['Dramas'],8.1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
35,Arthur Christmas,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABSppS7qaLNeD4zXqmNLBxEfc37C9Jqzj8uLPin4RtcsmaEftMhleEyFogyGmik9Di67KYjvEttK9d0NfVpP7vQd9U5A.jpg?r=5a8,2011,2011,PG,98 min,"At Santa Claus's super-secret toy-making facility, Mr. Claus entrusts his son, Arthur, to carry out an ultra-important Christmas mission.","['Children', 'Children', 'Comedy']",8.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
36,Aruna & Her Palate,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABR6q43R3iQjflTZdClVisc8hlEkLeGLmECTTtXwAXlBLmVbqMf6vuD0WfxhT7O0RxChS-7JzIyk1Xc4uQGfYfDpVIcA.jpg?r=ab0,2018,2018,TV-PG,106 min,"An epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route, with three friends along for the ride.","['Dramas', 'International']",7.1,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,movie
37,As Good as It Gets,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABc2slz5xbIm2uIXHzfLKW3usL-1FQO-JG5TBitZnRq_4pDei7gzTWzZ9b-nfbhVJbQxiTQKI3OdY9Vaq96PgRSB7r7g.jpg?r=5b2,1997,1997,PG-13,139 min,"The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.","['Comedy', 'Romantic']",7.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,movie
38,Bad Grandpa .5,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVSCCV6MLd94rE23OM3a8FivvXUdnqFex7oNsq3G6hXgpldi1Jnl5yUM37d46bc5UY_8h67v5z8DkIAIV7UHY1IDkGw.jpg?r=6ca,2014,2014,TV-MA,87 min,"The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise, which features unused footage from the first film.",['Comedy'],3.6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
39,Breaking the Bank,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVySsf46lvvD8QIT9QkVv2O8JE60Kqr8eQodjZLIfd4GNYUzv-FR10jBZBuASgqz9XF9X7tR7Bk35DwtSJDUpuX1X94.jpg?r=196,2014,2014,TV-14,105 min,Bank chairman Charles Bunbury – who knows next to nothing about banking – fights to save both his company and his marriage from disaster.,['Comedy'],4.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
40,Catch Me If You Can,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVp0H08A5qvmLs0u2muGraNRpWC0JElRwuPX1OujZLmIVef3tvTEyYYzI4_x_3HLh8rvAuyXi7dAMnVmkEpFEodAzjE.jpg?r=0f1,2002,2002,PG-13,142 min,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.",['Dramas'],6.8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
41,Center Stage,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABeyTP1OEC1OkJ8yIwDEms943mqoJiLKLsL5jcLw31erv7yKJopZGTsJy_Wkw2kfPehhEdI-rO2z4dNBbx2BYUTIoqBk.jpg?r=60a,2000,2000,PG-13,116 min,"Vying for a spot in the American Ballet Company, 12 dance students are ready to push their bodies and minds to the limit to realize their dreams.",['Dramas'],8.4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
42,Charlie and the Chocolate Factory,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZ0Ejht1HcrIV2qElMMdOQw_5_OZ8kFcwqT-LkG7r0xd7Sb8ZrYlmVfa8nqiFefOj6MePQcqaYFCsJI7J5lQl-ihDdY.jpg?r=eb9,2005,2005,PG,115 min,The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.,"['Children', 'Children', 'Comedy']",6.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
43,Chasing Amy,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABdobgGXyD-MMU_EF1smnFqB4P2-jugCe2XlDxWOVtzQV_7f85z9rDQ_RwnZho5cx98JmTT2_4cCOrPdQULSmDH-AGSs.jpg?r=86e,1997,1997,R,113 min,"Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her.","['Comedy', 'Cult', 'Dramas']",6.0,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,movie
44,Chitty Chitty Bang Bang,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZLELLch0znH100-PLlH8A5iyGUWWDLI5ibNwPgI_c8lwTS7BMA3ijEqvjmUo6ZlDppGh49igXNTUX5OrRs_puQf_PU.jpg?r=097,1968,1968,G,146 min,"Quirky inventor Caractacus Potts and his family travel in their magical flying car to Vulgaria, a kingdom strangely devoid of children.","['Children', 'Children', 'Comedy']",6.3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
45,Chloe,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABehihjh7pROgVjyqPfkp7kiQi5Fdrb8XWxygiAtMLbanpqZWhfimQy3ikCw9zNDjurGIHcp20bKS8Tr7WEEO-A1_Qt0.jpg?r=341,2009,2009,R,96 min,"Suspecting her husband of infidelity, Catherine hires sexy Chloe to test his faithfulness. Soon, the relationships between all three intensify.",['Thrillers'],5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,movie
46,City of God,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZknUIqGwbvQL4qnuRwFtVt8sqD34dxzihXe1h0GUwHfJQuMudKv85xt3IUAExMjhkU7dCZxycdT8y6TrhrVVxeFHq4.jpg?r=804,2002,2002,R,130 min,"Growing up in a Rio de Janeiro slum, Rocket is able to avoid being drawn into a life of drugs and crime by having a passion for photography.","['Dramas', 'International']",6.4,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,movie
47,Click,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABYgJxDVKAUVlwc5GatNWK8_VQtuNOKTijKiZ8TrL1kTZrX8XtaxqIBpjF6pXbdY4bjEhTWQMim1TixjIxURiVSj6LQI.jpg?r=951,2006,2006,PG-13,108 min,Overworked Michael Newman stumbles on a universal remote control that gives him the power to pause or fast-forward through scenes in his life.,"['Comedy', 'Sci-Fi', 'Fantasy']",5.5,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,movie
